Date	Price
Dec 31, 2020	204.58
Dec 30, 2020	203.32
Dec 29, 2020	204.0
Dec 28, 2020	204.02
Dec 24, 2020	203.19
Dec 23, 2020	202.54
Dec 22, 2020	202.21
Dec 21, 2020	201.61
Dec 18, 2020	202.86
Dec 17, 2020	203.34
Dec 16, 2020	202.74
Dec 15, 2020	202.46
Dec 14, 2020	201.05
Dec 11, 2020	201.51
Dec 10, 2020	201.49
Dec 09, 2020	202.39
Dec 08, 2020	202.97
Dec 07, 2020	202.16
Dec 04, 2020	202.3
Dec 03, 2020	200.6
Dec 02, 2020	201.37
Dec 01, 2020	201.74
Nov 30, 2020	200.89
Nov 27, 2020	202.51
Nov 26, 2020	202.27
Nov 25, 2020	202.21
Nov 24, 2020	202.68
Nov 23, 2020	200.43
Nov 20, 2020	199.29
Nov 19, 2020	200.01
Nov 18, 2020	199.15
Nov 17, 2020	200.32
Nov 16, 2020	201.2
Nov 13, 2020	198.95
Nov 12, 2020	197.34
Nov 11, 2020	199.88
Nov 10, 2020	196.96
Nov 09, 2020	196.7
Nov 06, 2020	193.34
Nov 05, 2020	193.83
Nov 04, 2020	191.77
Nov 03, 2020	187.69
Nov 02, 2020	185.44
Oct 30, 2020	182.93
Oct 29, 2020	184.8
Oct 28, 2020	182.37
Oct 27, 2020	186.83
Oct 26, 2020	187.91
Oct 23, 2020	190.82
Oct 22, 2020	190.2
Oct 21, 2020	189.19
Oct 20, 2020	190.26
Oct 19, 2020	190.44
Oct 16, 2020	193.42
Oct 15, 2020	193.25
Oct 14, 2020	193.65
Oct 13, 2020	194.92
Oct 12, 2020	194.87
Oct 09, 2020	192.29
Oct 08, 2020	191.73
Oct 07, 2020	190.25
Oct 06, 2020	187.66
Oct 05, 2020	189.28
Oct 02, 2020	187.08
Oct 01, 2020	188.14
Sep 30, 2020	187.43
Sep 29, 2020	186.74
Sep 28, 2020	188.34
Sep 24, 2020	183.3
Sep 23, 2020	183.0
Sep 22, 2020	185.66
Sep 21, 2020	183.81
Sep 18, 2020	185.19
Sep 17, 2020	187.22
Sep 16, 2020	188.44
Sep 15, 2020	188.44
Sep 14, 2020	187.02
Sep 10, 2020	184.96
Sep 09, 2020	187.95
Sep 08, 2020	184.93
Sep 07, 2020	188.65
Sep 04, 2020	188.39
Sep 03, 2020	189.99
Sep 02, 2020	195.24
Sep 01, 2020	191.15
Aug 31, 2020	190.29
Aug 28, 2020	191.38
Aug 25, 2020	189.89
Aug 20, 2020	186.74
Aug 19, 2020	186.4
Aug 18, 2020	186.45
Aug 17, 2020	186.67
Aug 14, 2020	186.69
Aug 13, 2020	187.01
Aug 12, 2020	187.62
Aug 11, 2020	185.52
Aug 10, 2020	185.61
Aug 07, 2020	184.87
Aug 06, 2020	184.31
Aug 05, 2020	183.53
Aug 04, 2020	183.82
Aug 03, 2020	183.09
Jul 31, 2020	180.24
Jul 30, 2020	180.81
Jul 29, 2020	182.19
Jul 28, 2020	181.35
Jul 27, 2020	181.54
Jul 24, 2020	182.3
Jul 23, 2020	184.09
Jul 22, 2020	185.67
Jul 21, 2020	186.87
Jul 20, 2020	187.16
Jul 17, 2020	185.9
Jul 16, 2020	185.33
Jul 15, 2020	186.19
Jul 14, 2020	184.41
Jul 13, 2020	183.49
Jul 10, 2020	184.79
Jul 09, 2020	183.49
Jul 08, 2020	184.03
Jul 07, 2020	183.74
Jul 06, 2020	185.11
Jul 03, 2020	183.09
Jul 02, 2020	183.55
Jul 01, 2020	181.47
Jun 30, 2020	181.35
Jun 29, 2020	178.99
Jun 26, 2020	178.06
Jun 25, 2020	180.87
Jun 24, 2020	178.78
Jun 23, 2020	182.26
Jun 22, 2020	182.3
Jun 19, 2020	182.45
Jun 18, 2020	182.56
Jun 17, 2020	182.69
