Date	Price
Dec 30, 2020	253.84
Dec 29, 2020	253.82
Dec 28, 2020	253.55
Dec 23, 2020	254.18
Dec 22, 2020	255.13
Dec 21, 2020	254.41
Dec 18, 2020	254.35
Dec 17, 2020	254.5
Dec 16, 2020	255.09
Dec 15, 2020	255.23
Dec 14, 2020	255.52
Dec 11, 2020	255.84
Dec 10, 2020	255.41
Dec 09, 2020	255.69
Dec 08, 2020	255.16
Dec 07, 2020	254.72
Dec 04, 2020	253.74
Dec 03, 2020	252.75
Dec 02, 2020	255.63
Dec 01, 2020	255.2
Nov 30, 2020	257.43
Nov 27, 2020	257.57
Nov 26, 2020	258.01
Nov 25, 2020	257.88
Nov 24, 2020	257.63
Nov 23, 2020	258.78
Nov 20, 2020	258.85
Nov 19, 2020	258.47
Nov 18, 2020	258.41
Nov 17, 2020	257.67
Nov 16, 2020	257.6
Nov 13, 2020	259.12
Nov 12, 2020	257.51
Nov 11, 2020	258.87
Nov 10, 2020	256.72
Nov 09, 2020	258.53
Nov 06, 2020	258.47
Nov 05, 2020	259.67
Nov 04, 2020	260.6
Nov 03, 2020	259.37
Nov 02, 2020	260.66
Oct 30, 2020	260.3
Oct 29, 2020	260.61
Oct 28, 2020	259.17
Oct 27, 2020	258.5
Oct 26, 2020	257.9
Oct 23, 2020	256.71
Oct 22, 2020	257.34
Oct 21, 2020	258.75
Oct 20, 2020	257.98
Oct 19, 2020	258.5
Oct 16, 2020	259.99
Oct 15, 2020	259.89
Oct 14, 2020	259.56
Oct 13, 2020	258.95
Oct 12, 2020	258.14
Oct 09, 2020	257.51
Oct 08, 2020	257.62
Oct 07, 2020	257.47
Oct 06, 2020	257.45
Oct 05, 2020	257.65
Oct 02, 2020	259.38
Oct 01, 2020	258.68
Sep 30, 2020	258.42
Sep 29, 2020	259.3
Sep 28, 2020	260.13
Sep 25, 2020	260.56
Sep 24, 2020	260.03
Sep 23, 2020	259.79
Sep 22, 2020	259.37
Sep 21, 2020	259.13
Sep 18, 2020	257.63
Sep 17, 2020	258.34
Sep 16, 2020	257.78
Sep 15, 2020	257.08
Sep 14, 2020	256.19
Sep 11, 2020	256.37
Sep 10, 2020	255.36
Sep 09, 2020	256.25
Sep 08, 2020	257.25
Sep 07, 2020	255.51
Sep 04, 2020	256.54
Sep 03, 2020	257.71
Sep 02, 2020	257.81
Sep 01, 2020	254.04
Aug 31, 2020	254.31
Aug 28, 2020	255.4
Aug 27, 2020	256.16
Aug 26, 2020	256.54
Aug 25, 2020	256.57
Aug 24, 2020	257.78
Aug 21, 2020	258.15
Aug 20, 2020	257.18
Aug 19, 2020	256.52
Aug 18, 2020	255.66
Aug 17, 2020	256.41
Aug 14, 2020	256.05
Aug 13, 2020	256.34
Aug 12, 2020	257.15
Aug 11, 2020	257.95
Aug 10, 2020	259.31
Aug 07, 2020	259.15
Aug 06, 2020	259.62
Aug 05, 2020	257.7
Aug 04, 2020	259.31
Aug 03, 2020	259.49
Jul 31, 2020	259.01
Jul 30, 2020	258.59
Jul 29, 2020	259.03
Jul 28, 2020	259.83
Jul 27, 2020	258.9
Jul 24, 2020	259.65
Jul 23, 2020	260.25
Jul 22, 2020	260.48
Jul 21, 2020	261.08
Jul 20, 2020	261.67
Jul 17, 2020	261.77
Jul 16, 2020	261.95
Jul 15, 2020	261.74
Jul 14, 2020	262.27
Jul 13, 2020	262.21
Jul 10, 2020	261.95
Jul 09, 2020	263.65
Jul 08, 2020	262.96
Jul 07, 2020	262.4
Jul 06, 2020	262.34
Jul 03, 2020	263.53
Jul 02, 2020	262.33
Jul 01, 2020	261.9
Jun 30, 2020	263.43
Jun 29, 2020	263.05
Jun 26, 2020	264.42
Jun 25, 2020	264.01
Jun 24, 2020	262.71
Jun 23, 2020	261.43
Jun 22, 2020	262.3
Jun 19, 2020	263.7
Jun 18, 2020	263.02
Jun 17, 2020	263.34
Jun 16, 2020	262.35
Jun 15, 2020	262.84
Jun 12, 2020	262.41
Jun 11, 2020	261.31
Jun 10, 2020	261.14
Jun 09, 2020	258.67
Jun 08, 2020	259.48
Jun 05, 2020	257.61
Jun 04, 2020	259.07
Jun 03, 2020	262.3
Jun 02, 2020	262.14
Jun 01, 2020	263.52
May 29, 2020	263.74
May 28, 2020	266.33
May 27, 2020	265.82
May 26, 2020	265.76
May 25, 2020	267.34
May 22, 2020	267.02
May 21, 2020	266.35
May 20, 2020	265.65
May 19, 2020	265.93
May 18, 2020	267.05
May 15, 2020	268.33
May 14, 2020	269.36
May 13, 2020	268.3
May 12, 2020	267.1
May 11, 2020	267.65
May 08, 2020	268.44
May 07, 2020	268.7
May 06, 2020	268.65
May 05, 2020	268.85
May 04, 2020	267.85
Apr 30, 2020	268.09
Apr 29, 2020	269.31
Apr 28, 2020	268.76
Apr 27, 2020	268.68
Apr 24, 2020	269.13
Apr 23, 2020	268.16
Apr 22, 2020	266.5
Apr 21, 2020	266.46
Apr 20, 2020	266.49
Apr 17, 2020	267.52
Apr 16, 2020	267.01
Apr 15, 2020	265.41
Apr 14, 2020	264.0
Apr 09, 2020	262.76
Apr 08, 2020	265.61
Apr 07, 2020	265.33
Apr 06, 2020	265.8
Apr 03, 2020	264.97
Apr 02, 2020	265.51
Apr 01, 2020	267.37
Mar 31, 2020	263.01
Mar 30, 2020	265.23
Mar 27, 2020	265.07
Mar 26, 2020	260.03
Mar 25, 2020	263.43
Mar 24, 2020	261.59
Mar 23, 2020	265.67
Mar 20, 2020	259.93
Mar 19, 2020	258.2
Mar 18, 2020	261.09
Mar 17, 2020	255.16
Mar 16, 2020	263.43
Mar 13, 2020	256.92
Mar 12, 2020	267.66
Mar 11, 2020	266.2
Mar 10, 2020	266.39
Mar 09, 2020	268.45
Mar 06, 2020	265.54
Mar 05, 2020	264.01
Mar 04, 2020	264.32
Mar 03, 2020	263.93
Mar 02, 2020	262.95
Feb 28, 2020	264.76
Feb 27, 2020	263.35
Feb 26, 2020	263.64
Feb 25, 2020	264.79
Feb 24, 2020	264.38
Feb 21, 2020	262.73
Feb 20, 2020	263.1
Feb 19, 2020	262.52
Feb 18, 2020	263.37
Feb 17, 2020	262.58
Feb 14, 2020	262.42
Feb 13, 2020	261.71
Feb 12, 2020	260.72
Feb 11, 2020	260.95
Feb 10, 2020	261.05
Feb 07, 2020	259.99
Feb 06, 2020	258.69
Feb 05, 2020	258.55
Feb 04, 2020	259.09
Feb 03, 2020	259.95
Jan 31, 2020	259.95
Jan 30, 2020	260.16
Jan 29, 2020	259.81
Jan 28, 2020	259.16
Jan 27, 2020	259.62
Jan 24, 2020	257.85
Jan 23, 2020	257.44
Jan 22, 2020	255.12
Jan 21, 2020	254.89
Jan 20, 2020	254.49
Jan 17, 2020	254.53
Jan 16, 2020	253.87
Jan 15, 2020	253.71
Jan 14, 2020	253.83
Jan 13, 2020	253.37
Jan 10, 2020	254.35
Jan 09, 2020	254.05
Jan 08, 2020	254.82
Jan 07, 2020	254.36
Jan 06, 2020	254.16
Jan 03, 2020	255.12
Jan 02, 2020	253.28
