Date	Price
Dec 31, 2020	80.62
Dec 30, 2020	80.42
Dec 29, 2020	80.86
Dec 24, 2020	80.11
Dec 23, 2020	80.4
Dec 22, 2020	81.39
Dec 21, 2020	81.39
Dec 18, 2020	80.67
Dec 17, 2020	80.11
Dec 16, 2020	80.51
Dec 15, 2020	80.76
Dec 14, 2020	81.31
Dec 11, 2020	82.08
Dec 10, 2020	81.51
Dec 09, 2020	80.83
Dec 08, 2020	81.13
Dec 07, 2020	81.14
Dec 04, 2020	80.29
Dec 03, 2020	80.44
Dec 02, 2020	80.94
Dec 01, 2020	80.58
Nov 30, 2020	80.97
Nov 27, 2020	80.93
Nov 26, 2020	80.77
Nov 25, 2020	80.39
Nov 24, 2020	80.53
Nov 23, 2020	80.72
Nov 20, 2020	80.75
Nov 19, 2020	80.97
Nov 18, 2020	80.54
Nov 17, 2020	80.6
Nov 16, 2020	80.78
Nov 13, 2020	80.76
Nov 12, 2020	80.74
Nov 11, 2020	80.1
Nov 10, 2020	80.19
Nov 09, 2020	80.68
Nov 06, 2020	81.04
Nov 05, 2020	81.39
Nov 04, 2020	81.58
Nov 03, 2020	80.44
Nov 02, 2020	81.32
Oct 30, 2020	80.85
Oct 29, 2020	81.33
Oct 28, 2020	81.23
Oct 27, 2020	80.97
Oct 26, 2020	81.05
Oct 23, 2020	80.86
Oct 22, 2020	80.5
Oct 21, 2020	80.5
Oct 20, 2020	81.5
Oct 19, 2020	81.39
Oct 16, 2020	81.72
Oct 15, 2020	81.69
Oct 14, 2020	81.19
Oct 13, 2020	81.39
Oct 12, 2020	80.82
Oct 09, 2020	81.07
Oct 08, 2020	81.39
Oct 07, 2020	81.32
Oct 06, 2020	81.11
Oct 05, 2020	81.03
Oct 02, 2020	81.14
Oct 01, 2020	81.42
Sep 30, 2020	81.26
Sep 29, 2020	81.72
Sep 28, 2020	81.49
Sep 25, 2020	82.18
Sep 24, 2020	82.25
Sep 23, 2020	82.39
Sep 22, 2020	82.58
Sep 21, 2020	82.38
Sep 18, 2020	81.74
Sep 17, 2020	81.75
Sep 16, 2020	82.35
Sep 15, 2020	83.1
Sep 14, 2020	83.0
Sep 11, 2020	83.43
Sep 10, 2020	82.74
Sep 09, 2020	81.91
Sep 08, 2020	81.86
Sep 07, 2020	81.02
Sep 04, 2020	80.88
Sep 03, 2020	80.86
Sep 02, 2020	80.68
Sep 01, 2020	79.69
Aug 28, 2020	79.89
Aug 27, 2020	80.44
Aug 26, 2020	80.68
Aug 25, 2020	81.13
Aug 24, 2020	81.81
Aug 21, 2020	81.62
Aug 20, 2020	81.24
Aug 19, 2020	81.22
Aug 18, 2020	80.93
Aug 17, 2020	81.54
Aug 14, 2020	81.36
Aug 13, 2020	81.82
Aug 12, 2020	82.11
Aug 11, 2020	81.95
Aug 10, 2020	82.33
Aug 07, 2020	82.57
Aug 06, 2020	82.34
Aug 05, 2020	81.94
Aug 04, 2020	82.31
Aug 03, 2020	82.1
Jul 31, 2020	81.66
Jul 30, 2020	82.28
Jul 29, 2020	82.5
Jul 28, 2020	82.63
Jul 27, 2020	83.07
Jul 24, 2020	83.37
Jul 23, 2020	83.6
Jul 22, 2020	83.64
Jul 21, 2020	83.46
Jul 20, 2020	83.58
Jul 17, 2020	84.17
Jul 16, 2020	83.61
Jul 15, 2020	83.37
Jul 14, 2020	83.58
Jul 13, 2020	83.01
Jul 10, 2020	82.81
Jul 09, 2020	82.88
Jul 08, 2020	83.04
Jul 07, 2020	82.75
Jul 06, 2020	83.39
Jul 03, 2020	83.37
Jul 02, 2020	83.38
Jul 01, 2020	83.04
Jun 30, 2020	83.68
Jun 29, 2020	84.08
Jun 26, 2020	83.49
Jun 25, 2020	82.92
Jun 24, 2020	82.64
Jun 23, 2020	82.53
Jun 22, 2020	82.95
Jun 19, 2020	83.34
Jun 18, 2020	82.71
Jun 17, 2020	82.07
Jun 16, 2020	82.15
Jun 15, 2020	81.71
Jun 12, 2020	81.76
Jun 11, 2020	81.25
Jun 10, 2020	80.76
Jun 09, 2020	80.61
Jun 08, 2020	81.07
Jun 05, 2020	80.74
Jun 04, 2020	81.25
Jun 03, 2020	81.04
Jun 02, 2020	81.19
Jun 01, 2020	81.22
May 29, 2020	81.83
May 28, 2020	81.88
May 27, 2020	82.17
May 26, 2020	81.29
May 22, 2020	81.87
May 21, 2020	81.78
May 20, 2020	81.11
May 19, 2020	81.06
May 18, 2020	81.01
May 15, 2020	81.22
May 14, 2020	80.36
May 13, 2020	80.35
May 12, 2020	79.83
May 11, 2020	79.27
May 07, 2020	79.7
May 06, 2020	79.56
May 05, 2020	79.63
May 04, 2020	79.93
May 01, 2020	79.38
Apr 30, 2020	79.31
Apr 29, 2020	79.94
Apr 28, 2020	79.57
Apr 27, 2020	79.92
Apr 24, 2020	80.25
Apr 23, 2020	80.18
Apr 22, 2020	80.07
Apr 21, 2020	80.25
Apr 20, 2020	79.64
Apr 17, 2020	79.82
Apr 16, 2020	79.99
Apr 15, 2020	79.25
Apr 14, 2020	79.29
Apr 09, 2020	79.95
Apr 08, 2020	77.67
Apr 07, 2020	77.71
Apr 06, 2020	77.46
Apr 03, 2020	77.07
Apr 02, 2020	76.69
Apr 01, 2020	76.82
Mar 31, 2020	77.29
Mar 30, 2020	77.13
Mar 27, 2020	75.91
Mar 26, 2020	78.04
Mar 25, 2020	79.24
Mar 24, 2020	78.39
Mar 23, 2020	78.75
Mar 20, 2020	75.05
Mar 19, 2020	75.17
Mar 18, 2020	75.01
Mar 17, 2020	76.48
Mar 16, 2020	76.17
Mar 13, 2020	77.45
Mar 12, 2020	76.19
Mar 11, 2020	78.87
Mar 10, 2020	79.8
Mar 09, 2020	79.22
Mar 06, 2020	80.75
Mar 05, 2020	81.17
Mar 04, 2020	81.82
Mar 03, 2020	81.8
Mar 02, 2020	81.36
Feb 28, 2020	80.67
Feb 27, 2020	80.11
Feb 26, 2020	79.88
Feb 25, 2020	79.55
Feb 24, 2020	80.01
Feb 21, 2020	79.73
Feb 20, 2020	79.94
Feb 19, 2020	79.42
Feb 18, 2020	79.06
Feb 17, 2020	79.09
Feb 14, 2020	78.98
Feb 13, 2020	78.64
Feb 12, 2020	79.16
Feb 11, 2020	79.54
Feb 10, 2020	79.73
Feb 07, 2020	79.76
Feb 06, 2020	79.44
Feb 05, 2020	79.17
Feb 04, 2020	79.08
Feb 03, 2020	79.43
Jan 31, 2020	78.44
Jan 30, 2020	78.61
Jan 29, 2020	79.12
Jan 28, 2020	79.06
Jan 27, 2020	78.77
Jan 24, 2020	78.6
Jan 23, 2020	78.28
Jan 22, 2020	78.11
Jan 21, 2020	78.56
Jan 20, 2020	78.57
Jan 17, 2020	78.44
Jan 16, 2020	78.21
Jan 15, 2020	78.49
Jan 14, 2020	78.42
Jan 13, 2020	78.48
Jan 10, 2020	78.19
Jan 09, 2020	77.77
Jan 08, 2020	77.73
Jan 07, 2020	77.73
Jan 06, 2020	77.5
Jan 03, 2020	78.03
Jan 02, 2020	77.58
