Date	Price
Dec 31, 2020	178.36
Dec 30, 2020	177.7
Dec 29, 2020	176.35
Dec 28, 2020	175.71
Dec 24, 2020	176.35
Dec 23, 2020	175.65
Dec 22, 2020	174.49
Dec 21, 2020	175.88
Dec 18, 2020	176.44
Dec 17, 2020	176.74
Dec 16, 2020	174.9
Dec 15, 2020	173.94
Dec 14, 2020	171.54
Dec 11, 2020	172.49
Dec 10, 2020	172.17
Dec 09, 2020	172.5
Dec 08, 2020	175.5
Dec 07, 2020	174.89
Dec 04, 2020	172.32
Dec 03, 2020	172.81
Dec 02, 2020	171.46
Dec 01, 2020	170.18
Nov 30, 2020	166.67
Nov 27, 2020	167.79
Nov 25, 2020	169.51
Nov 24, 2020	169.59
Nov 23, 2020	172.23
Nov 20, 2020	175.69
Nov 19, 2020	175.16
Nov 18, 2020	175.49
Nov 17, 2020	176.5
Nov 16, 2020	177.15
Nov 13, 2020	177.16
Nov 12, 2020	175.96
Nov 11, 2020	174.9
Nov 10, 2020	175.66
Nov 09, 2020	175.08
Nov 06, 2020	183.19
Nov 05, 2020	182.93
Nov 04, 2020	178.82
Nov 03, 2020	178.92
Nov 02, 2020	177.91
Oct 30, 2020	176.2
Oct 29, 2020	175.4
Oct 28, 2020	176.13
Oct 27, 2020	179.02
Oct 26, 2020	178.55
Oct 23, 2020	178.64
Oct 22, 2020	178.83
Oct 21, 2020	180.6
Oct 20, 2020	179.25
Oct 19, 2020	178.39
Oct 16, 2020	178.3
Oct 15, 2020	178.92
Oct 14, 2020	178.27
Oct 13, 2020	177.72
Oct 12, 2020	180.56
Oct 11, 2020	181.08
Oct 09, 2020	181.08
Oct 08, 2020	177.85
Oct 07, 2020	177.22
Oct 06, 2020	177.3
Oct 05, 2020	179.41
Oct 04, 2020	178.54
Oct 03, 2020	178.54
Oct 02, 2020	178.54
Oct 01, 2020	178.7
Sep 30, 2020	177.12
Sep 29, 2020	178.19
Sep 28, 2020	176.7
Sep 27, 2020	174.94
Sep 26, 2020	174.94
Sep 25, 2020	174.94
Sep 24, 2020	175.44
Sep 23, 2020	174.79
Sep 22, 2020	178.65
Sep 21, 2020	179.52
Sep 18, 2020	183.2
Sep 17, 2020	182.96
Sep 16, 2020	183.97
Sep 15, 2020	183.45
Sep 14, 2020	183.89
Sep 13, 2020	182.45
Sep 11, 2020	182.45
Sep 10, 2020	182.46
Sep 09, 2020	183.05
Sep 08, 2020	181.29
Sep 04, 2020	181.64
Sep 03, 2020	181.14
Sep 02, 2020	182.62
Sep 01, 2020	185.05
Aug 31, 2020	184.83
Aug 30, 2020	184.39
Aug 28, 2020	184.39
Aug 27, 2020	181.24
Aug 26, 2020	183.36
Aug 25, 2020	181.22
Aug 24, 2020	181.0
Aug 23, 2020	182.03
Aug 21, 2020	182.03
Aug 20, 2020	183.5
Aug 19, 2020	182.24
Aug 18, 2020	188.18
Aug 17, 2020	186.5
Aug 14, 2020	182.54
Aug 13, 2020	183.33
Aug 12, 2020	179.1
Aug 11, 2020	179.94
Aug 10, 2020	190.15
Aug 09, 2020	190.81
Aug 08, 2020	190.81
Aug 07, 2020	190.81
Aug 06, 2020	193.89
Aug 05, 2020	191.35
Aug 04, 2020	189.59
Aug 03, 2020	185.64
Aug 02, 2020	185.43
Jul 31, 2020	185.43
Jul 30, 2020	183.76
Jul 29, 2020	185.13
Jul 28, 2020	183.75
Jul 27, 2020	182.23
Jul 26, 2020	178.7
Jul 25, 2020	178.7
Jul 24, 2020	178.7
Jul 23, 2020	177.18
Jul 22, 2020	175.63
Jul 21, 2020	173.0
Jul 20, 2020	170.94
Jul 17, 2020	170.12
Jul 16, 2020	168.73
Jul 15, 2020	170.34
Jul 14, 2020	170.19
Jul 13, 2020	169.4
Jul 12, 2020	169.19
Jul 11, 2020	169.19
Jul 10, 2020	169.19
Jul 09, 2020	169.63
Jul 08, 2020	170.09
Jul 07, 2020	169.04
Jul 06, 2020	167.98
Jul 05, 2020	166.98
Jul 04, 2020	166.98
Jul 02, 2020	166.98
Jul 01, 2020	166.62
Jun 30, 2020	167.37
Jun 29, 2020	166.63
Jun 26, 2020	166.54
Jun 25, 2020	165.8
Jun 24, 2020	165.9
Jun 23, 2020	166.48
Jun 22, 2020	165.09
Jun 19, 2020	164.03
Jun 18, 2020	162.24
Jun 17, 2020	162.56
Jun 16, 2020	162.25
Jun 15, 2020	162.33
Jun 12, 2020	162.62
Jun 11, 2020	162.39
Jun 10, 2020	163.57
Jun 09, 2020	161.26
Jun 08, 2020	159.72
Jun 07, 2020	158.01
Jun 05, 2020	158.01
Jun 04, 2020	161.28
Jun 03, 2020	159.6
Jun 02, 2020	162.6
Jun 01, 2020	163.66
May 29, 2020	162.91
May 28, 2020	161.72
May 27, 2020	161.18
May 26, 2020	160.89
May 22, 2020	163.21
May 21, 2020	162.25
May 20, 2020	164.65
May 19, 2020	164.26
May 18, 2020	162.69
May 15, 2020	163.93
May 14, 2020	163.01
May 13, 2020	161.58
May 12, 2020	160.04
May 11, 2020	159.42
May 10, 2020	160.42
May 09, 2020	160.42
May 08, 2020	160.42
May 07, 2020	161.39
May 06, 2020	158.95
May 05, 2020	161.02
May 04, 2020	160.34
May 03, 2020	159.78
May 02, 2020	159.78
May 01, 2020	159.78
Apr 30, 2020	158.8
Apr 29, 2020	161.73
Apr 28, 2020	160.84
Apr 27, 2020	161.56
Apr 24, 2020	162.64
Apr 23, 2020	163.34
Apr 22, 2020	161.73
Apr 21, 2020	158.61
Apr 20, 2020	159.7
Apr 17, 2020	158.57
Apr 16, 2020	161.71
Apr 15, 2020	161.85
Apr 14, 2020	162.68
Apr 13, 2020	161.41
Apr 09, 2020	158.69
Apr 08, 2020	154.65
Apr 07, 2020	156.04
Apr 06, 2020	156.88
Apr 03, 2020	152.65
Apr 02, 2020	151.9
Apr 01, 2020	149.45
Mar 31, 2020	148.05
Mar 30, 2020	152.92
Mar 27, 2020	152.25
Mar 26, 2020	153.24
Mar 25, 2020	151.3
Mar 24, 2020	153.4
Mar 23, 2020	146.3
Mar 20, 2020	140.11
Mar 19, 2020	138.04
Mar 18, 2020	140.7
Mar 17, 2020	143.56
Mar 16, 2020	141.64
Mar 13, 2020	143.28
Mar 12, 2020	147.79
Mar 11, 2020	153.93
Mar 10, 2020	154.48
Mar 09, 2020	157.81
Mar 06, 2020	157.55
Mar 05, 2020	157.49
Mar 04, 2020	154.16
Mar 03, 2020	153.89
Mar 02, 2020	149.2
Feb 28, 2020	148.38
Feb 27, 2020	154.0
