Date	Price
Dec 31, 2020	89.94
Dec 30, 2020	89.68
Dec 29, 2020	89.99
Dec 28, 2020	90.34
Dec 25, 2020	90.32
Dec 24, 2020	90.32
Dec 23, 2020	90.41
Dec 22, 2020	90.65
Dec 21, 2020	90.04
Dec 18, 2020	90.02
Dec 17, 2020	89.82
Dec 16, 2020	90.45
Dec 15, 2020	90.47
Dec 14, 2020	90.71
Dec 11, 2020	90.98
Dec 10, 2020	90.82
Dec 09, 2020	91.09
Dec 08, 2020	90.96
Dec 07, 2020	90.79
Dec 04, 2020	90.7
Dec 03, 2020	90.71
Dec 02, 2020	91.12
Dec 01, 2020	91.31
Nov 30, 2020	91.87
Nov 27, 2020	91.79
Nov 26, 2020	91.99
Nov 25, 2020	91.99
Nov 24, 2020	92.23
Nov 23, 2020	92.5
Nov 20, 2020	92.39
Nov 19, 2020	92.29
Nov 18, 2020	92.32
Nov 17, 2020	92.42
Nov 16, 2020	92.64
Nov 13, 2020	92.75
Nov 12, 2020	92.96
Nov 11, 2020	93.04
Nov 10, 2020	92.75
Nov 09, 2020	92.72
Nov 06, 2020	92.23
Nov 05, 2020	92.53
Nov 04, 2020	93.41
Nov 03, 2020	93.55
Nov 02, 2020	94.13
Oct 30, 2020	94.04
Oct 29, 2020	93.96
Oct 28, 2020	93.4
Oct 27, 2020	92.94
Oct 26, 2020	93.04
Oct 23, 2020	92.77
Oct 22, 2020	92.95
Oct 21, 2020	92.61
Oct 20, 2020	93.07
Oct 19, 2020	93.43
Oct 16, 2020	93.68
Oct 15, 2020	93.86
Oct 14, 2020	93.38
Oct 13, 2020	93.53
Oct 12, 2020	93.07
Oct 09, 2020	93.06
Oct 08, 2020	93.61
Oct 07, 2020	93.63
Oct 06, 2020	93.69
Oct 05, 2020	93.51
Oct 02, 2020	93.84
Oct 01, 2020	93.71
Sep 30, 2020	93.89
Sep 29, 2020	93.89
Sep 28, 2020	94.28
Sep 25, 2020	94.64
Sep 24, 2020	94.35
Sep 23, 2020	94.39
Sep 22, 2020	93.99
Sep 21, 2020	93.66
Sep 18, 2020	92.93
Sep 17, 2020	92.97
Sep 16, 2020	93.21
Sep 15, 2020	93.05
Sep 14, 2020	93.05
Sep 11, 2020	93.33
Sep 10, 2020	93.34
Sep 09, 2020	93.25
Sep 08, 2020	93.44
Sep 07, 2020	92.72
Sep 04, 2020	92.72
Sep 03, 2020	92.74
Sep 02, 2020	92.85
Sep 01, 2020	92.34
Aug 31, 2020	92.14
Aug 28, 2020	92.37
Aug 27, 2020	93.0
Aug 26, 2020	93.01
Aug 25, 2020	93.02
Aug 24, 2020	93.3
Aug 21, 2020	93.25
Aug 20, 2020	92.79
Aug 19, 2020	92.89
Aug 18, 2020	92.27
Aug 17, 2020	92.85
Aug 14, 2020	93.1
Aug 13, 2020	93.33
Aug 12, 2020	93.44
Aug 11, 2020	93.63
Aug 10, 2020	93.58
Aug 07, 2020	93.43
Aug 06, 2020	92.79
Aug 05, 2020	92.87
Aug 04, 2020	93.38
Aug 03, 2020	93.54
Jul 31, 2020	93.35
Jul 30, 2020	93.02
Jul 29, 2020	93.45
Jul 28, 2020	93.7
Jul 27, 2020	93.67
Jul 24, 2020	94.43
Jul 23, 2020	94.69
Jul 22, 2020	94.99
Jul 21, 2020	95.12
Jul 20, 2020	95.83
Jul 17, 2020	95.94
Jul 16, 2020	96.35
Jul 15, 2020	96.08
Jul 14, 2020	96.26
Jul 13, 2020	96.46
Jul 10, 2020	96.65
Jul 09, 2020	96.7
Jul 08, 2020	96.43
Jul 07, 2020	96.88
Jul 06, 2020	96.72
Jul 03, 2020	97.17
Jul 02, 2020	97.32
Jul 01, 2020	97.2
Jun 30, 2020	97.39
Jun 29, 2020	97.54
Jun 26, 2020	97.43
Jun 25, 2020	97.43
Jun 24, 2020	97.15
Jun 23, 2020	96.65
Jun 22, 2020	97.04
Jun 19, 2020	97.62
Jun 18, 2020	97.42
Jun 17, 2020	97.16
Jun 16, 2020	96.96
Jun 15, 2020	96.71
Jun 12, 2020	97.32
Jun 11, 2020	96.73
Jun 10, 2020	95.96
Jun 09, 2020	96.32
Jun 08, 2020	96.62
Jun 05, 2020	96.94
Jun 04, 2020	96.68
Jun 03, 2020	97.28
Jun 02, 2020	97.67
Jun 01, 2020	97.83
May 29, 2020	98.34
May 28, 2020	98.38
May 27, 2020	99.06
May 26, 2020	98.91
May 25, 2020	99.86
May 22, 2020	99.86
May 21, 2020	99.37
May 20, 2020	99.12
May 19, 2020	99.37
May 18, 2020	99.67
May 15, 2020	100.4
May 14, 2020	100.47
May 13, 2020	100.24
May 12, 2020	99.93
May 11, 2020	100.24
May 08, 2020	99.73
May 07, 2020	99.89
May 06, 2020	100.09
May 05, 2020	99.71
May 04, 2020	99.48
May 01, 2020	99.08
Apr 30, 2020	99.02
Apr 29, 2020	99.57
Apr 28, 2020	99.86
Apr 27, 2020	100.04
Apr 24, 2020	100.38
Apr 23, 2020	100.43
Apr 22, 2020	100.39
Apr 21, 2020	100.26
Apr 20, 2020	99.96
Apr 17, 2020	99.78
Apr 16, 2020	100.03
Apr 15, 2020	99.46
Apr 14, 2020	98.89
Apr 13, 2020	99.35
Apr 10, 2020	99.52
Apr 09, 2020	99.52
Apr 08, 2020	100.12
Apr 07, 2020	99.9
Apr 06, 2020	100.68
Apr 03, 2020	100.58
Apr 02, 2020	100.18
Apr 01, 2020	99.67
Mar 31, 2020	99.05
Mar 30, 2020	99.18
Mar 27, 2020	98.36
Mar 26, 2020	99.35
