date,CA,CB,GO,PB,ST
2020-01-01,96.39,0.0,0.0,0.0,0.0
2020-01-02,96.85,77.58,143.95,253.28,194.59
2020-01-03,96.84,78.03,145.86,255.12,194.12
2020-01-06,96.67,77.5,147.39,254.16,193.81
2020-01-07,97.0,77.73,147.97,254.36,194.3
2020-01-08,97.3,77.73,146.86,254.82,195.26
2020-01-09,97.45,77.77,146.03,254.05,196.64
2020-01-10,97.36,78.19,146.91,254.35,196.26
2020-01-13,97.34,78.48,145.82,253.37,196.76
2020-01-14,97.37,78.42,145.69,253.83,197.01
2020-01-15,97.23,78.49,146.54,253.71,196.77
2020-01-16,97.32,78.21,146.31,253.87,198.1
2020-01-17,97.64,78.44,146.58,254.53,199.7
2020-01-20,97.61,78.57,0.0,254.49,199.76
2020-01-21,97.53,78.56,146.74,254.89,199.13
2020-01-22,97.53,78.11,146.79,255.12,199.63
2020-01-23,97.69,78.28,147.12,257.44,199.83
2020-01-24,97.85,78.6,147.98,257.85,199.3
2020-01-27,97.96,78.77,148.99,259.62,196.23
2020-01-28,98.02,79.06,147.66,259.16,197.82
2020-01-29,97.99,79.12,148.46,259.81,197.94
2020-01-30,97.87,78.61,148.47,260.16,197.19
2020-01-31,97.39,78.44,149.33,259.95,193.9
2020-02-03,97.8,79.43,148.36,259.95,0.0
2020-02-04,97.96,79.08,146.43,259.09,197.91
2020-02-05,98.3,79.17,146.61,258.55,200.57
2020-02-06,98.5,79.44,147.4,258.69,202.0
2020-02-07,98.68,79.76,147.79,259.99,201.27
2020-02-10,98.83,79.73,148.17,261.05,202.73
2020-02-11,98.72,79.54,147.66,260.95,203.59
2020-02-12,99.05,79.16,147.54,260.72,205.13
2020-02-13,99.07,78.64,148.38,261.71,205.64
2020-02-14,99.12,78.98,149.0,262.42,205.82
2020-02-17,99.0,79.09,0.0,262.58,205.91
2020-02-18,99.44,79.06,150.91,263.37,205.41
2020-02-19,99.71,79.42,151.79,262.52,206.85
2020-02-20,99.86,79.94,152.41,263.1,205.73
2020-02-21,99.26,79.73,154.7,262.73,203.34
2020-02-24,99.36,80.01,156.09,264.38,197.16
2020-02-25,98.97,79.55,153.3,264.79,191.65
2020-02-26,99.0,79.88,153.97,263.64,190.71
2020-02-27,98.51,80.11,154.0,263.35,181.87
2020-02-28,98.13,80.67,148.38,264.76,179.06
2020-03-02,97.36,81.36,149.2,262.95,182.42
2020-03-03,97.15,81.8,153.89,263.93,178.98
2020-03-04,97.34,81.82,154.16,264.32,185.0
2020-03-05,96.82,81.17,157.49,264.01,180.1
2020-03-06,95.95,80.75,157.55,265.54,174.65
2020-03-09,94.89,79.22,157.81,268.45,160.44
2020-03-10,96.41,79.8,154.48,266.39,166.06
2020-03-11,96.51,78.87,153.93,266.2,160.54
2020-03-12,97.47,76.19,147.79,267.66,147.32
2020-03-13,98.75,77.45,143.28,256.92,156.08
2020-03-16,98.07,76.17,141.64,263.43,140.35
2020-03-17,99.57,76.48,143.56,255.16,148.29
2020-03-18,101.16,75.01,140.7,261.09,142.42
2020-03-19,102.75,75.17,138.04,258.2,145.46
2020-03-20,102.82,75.05,140.11,259.93,141.93
2020-03-23,102.49,78.75,146.3,265.67,136.84
2020-03-24,102.04,78.39,153.4,261.59,148.46
2020-03-25,101.05,79.24,151.3,263.43,151.57
2020-03-26,99.35,78.04,153.24,260.03,156.51
2020-03-27,98.36,75.91,152.25,265.07,151.96
2020-03-30,99.18,77.13,152.92,265.23,156.14
2020-03-31,99.05,77.29,148.05,263.01,155.5
2020-04-01,99.67,76.82,149.45,267.37,149.96
2020-04-02,100.18,76.69,151.9,265.51,152.77
2020-04-03,100.58,77.07,152.65,264.97,151.45
2020-04-06,100.68,77.46,156.88,265.8,160.45
2020-04-07,99.9,77.71,156.04,265.33,160.35
2020-04-08,100.12,77.67,154.65,265.61,164.47
2020-04-09,99.52,79.95,158.69,262.76,165.94
2020-04-10,99.52,0.0,0.0,0.0,0.0
2020-04-13,99.35,0.0,161.41,0.0,0.0
2020-04-14,98.89,79.29,162.68,264.0,168.52
2020-04-15,99.46,79.25,161.85,265.41,165.54
2020-04-16,100.03,79.99,161.71,267.01,166.72
2020-04-17,99.78,79.82,158.57,267.52,170.62
2020-04-20,99.96,79.64,159.7,266.49,168.75
2020-04-21,100.26,80.25,158.61,266.46,163.82
2020-04-22,100.39,80.07,161.73,266.5,167.4
2020-04-23,100.43,80.18,163.34,268.16,167.94
2020-04-24,100.38,80.25,162.64,269.13,169.32
2020-04-27,100.04,79.92,161.56,268.68,171.89
2020-04-28,99.86,79.57,160.84,268.76,172.11
2020-04-29,99.57,79.94,161.73,269.31,0.0
2020-04-30,99.02,79.31,158.8,268.09,172.75
2020-05-01,99.08,79.38,159.78,0.0,0.0
2020-05-02,0.0,0.0,159.78,0.0,0.0
2020-05-03,0.0,0.0,159.78,0.0,0.0
2020-05-04,99.48,79.93,160.34,267.85,168.68
2020-05-05,99.71,79.63,161.02,268.85,171.43
2020-05-06,100.09,79.56,158.95,268.65,171.4
2020-05-07,99.89,79.7,161.39,268.7,173.39
2020-05-08,99.73,0.0,160.42,268.44,174.76
2020-05-09,0.0,0.0,160.42,0.0,0.0
2020-05-10,0.0,0.0,160.42,0.0,0.0
2020-05-11,100.24,79.27,159.42,267.65,175.6
2020-05-12,99.93,79.83,160.04,267.1,172.56
2020-05-13,100.24,80.35,161.58,268.3,169.93
2020-05-14,100.47,80.36,163.01,269.36,170.5
2020-05-15,100.4,81.22,163.93,268.33,171.16
2020-05-18,99.67,81.01,162.69,267.05,175.73
2020-05-19,99.37,81.06,164.26,265.93,173.84
2020-05-20,99.12,81.11,164.65,265.65,175.76
2020-05-21,99.37,81.78,162.25,266.35,0.0
2020-05-22,99.86,81.87,163.21,267.02,175.72
2020-05-25,99.86,0.0,0.0,267.34,176.4
2020-05-26,98.91,81.29,160.89,265.76,177.81
