date,price
12/31/2020,89.94
12/30/2020,89.68
12/29/2020,89.99
12/28/2020,90.34
12/25/2020,90.32
12/24/2020,90.32
12/23/2020,90.41
12/22/2020,90.65
12/21/2020,90.04
12/18/2020,90.02
12/17/2020,89.82
12/16/2020,90.45
12/15/2020,90.47
12/14/2020,90.71
12/11/2020,90.98
12/10/2020,90.82
12/09/2020,91.09
12/08/2020,90.96
12/07/2020,90.79
12/04/2020,90.70
12/03/2020,90.71
12/02/2020,91.12
12/01/2020,91.31
11/30/2020,91.87
11/27/2020,91.79
11/26/2020,91.99
11/25/2020,91.99
11/24/2020,92.23
11/23/2020,92.50
11/20/2020,92.39
11/19/2020,92.29
11/18/2020,92.32
11/17/2020,92.42
11/16/2020,92.64
11/13/2020,92.75
11/12/2020,92.96
11/11/2020,93.04
11/10/2020,92.75
11/09/2020,92.72
11/06/2020,92.23
11/05/2020,92.53
11/04/2020,93.41
11/03/2020,93.55
11/02/2020,94.13
10/30/2020,94.04
10/29/2020,93.96
10/28/2020,93.40
10/27/2020,92.94
10/26/2020,93.04
10/23/2020,92.77
10/22/2020,92.95
10/21/2020,92.61
10/20/2020,93.07
10/19/2020,93.43
10/16/2020,93.68
10/15/2020,93.86
10/14/2020,93.38
10/13/2020,93.53
10/12/2020,93.07
10/09/2020,93.06
10/08/2020,93.61
10/07/2020,93.63
10/06/2020,93.69
10/05/2020,93.51
10/02/2020,93.84
10/01/2020,93.71
09/30/2020,93.89
09/29/2020,93.89
09/28/2020,94.28
09/25/2020,94.64
09/24/2020,94.35
09/23/2020,94.39
09/22/2020,93.99
09/21/2020,93.66
09/18/2020,92.93
09/17/2020,92.97
09/16/2020,93.21
09/15/2020,93.05
09/14/2020,93.05
09/11/2020,93.33
09/10/2020,93.34
09/09/2020,93.25
09/08/2020,93.44
09/07/2020,92.72
09/04/2020,92.72
09/03/2020,92.74
09/02/2020,92.85
09/01/2020,92.34
08/31/2020,92.14
08/28/2020,92.37
08/27/2020,93.00
08/26/2020,93.01
08/25/2020,93.02
08/24/2020,93.30
08/21/2020,93.25
08/20/2020,92.79
08/19/2020,92.89
08/18/2020,92.27
08/17/2020,92.85
08/14/2020,93.10
08/13/2020,93.33
08/12/2020,93.44
08/11/2020,93.63
08/10/2020,93.58
08/07/2020,93.43
08/06/2020,92.79
08/05/2020,92.87
08/04/2020,93.38
08/03/2020,93.54
07/31/2020,93.35
07/30/2020,93.02
07/29/2020,93.45
07/28/2020,93.70
07/27/2020,93.67
