date,price
12/31/2020,80.62
12/30/2020,80.42
12/29/2020,80.86
12/24/2020,80.11
12/23/2020,80.40
12/22/2020,81.39
12/21/2020,81.39
12/18/2020,80.67
12/17/2020,80.11
12/16/2020,80.51
12/15/2020,80.76
12/14/2020,81.31
12/11/2020,82.08
12/10/2020,81.51
12/09/2020,80.83
12/08/2020,81.13
12/07/2020,81.14
12/04/2020,80.29
12/03/2020,80.44
12/02/2020,80.94
12/01/2020,80.58
11/30/2020,80.97
11/27/2020,80.93
11/26/2020,80.77
11/25/2020,80.39
11/24/2020,80.53
11/23/2020,80.72
11/20/2020,80.75
11/19/2020,80.97
11/18/2020,80.54
11/17/2020,80.60
11/16/2020,80.78
11/13/2020,80.76
11/12/2020,80.74
11/11/2020,80.10
11/10/2020,80.19
11/09/2020,80.68
11/06/2020,81.04
11/05/2020,81.39
11/04/2020,81.58
11/03/2020,80.44
11/02/2020,81.32
10/30/2020,80.85
10/29/2020,81.33
10/28/2020,81.23
10/27/2020,80.97
10/26/2020,81.05
10/23/2020,80.86
10/22/2020,80.50
10/21/2020,80.50
10/20/2020,81.50
10/19/2020,81.39
10/16/2020,81.72
10/15/2020,81.69
10/14/2020,81.19
10/13/2020,81.39
10/12/2020,80.82
10/09/2020,81.07
10/08/2020,81.39
10/07/2020,81.32
10/06/2020,81.11
10/05/2020,81.03
10/02/2020,81.14
10/01/2020,81.42
09/30/2020,81.26
09/29/2020,81.72
09/28/2020,81.49
09/25/2020,82.18
09/24/2020,82.25
09/23/2020,82.39
09/22/2020,82.58
09/21/2020,82.38
09/18/2020,81.74
09/17/2020,81.75
09/16/2020,82.35
09/15/2020,83.10
09/14/2020,83.00
09/11/2020,83.43
09/10/2020,82.74
09/09/2020,81.91
09/08/2020,81.86
09/07/2020,81.02
09/04/2020,80.88
09/03/2020,80.86
09/02/2020,80.68
09/01/2020,79.69
08/28/2020,79.89
08/27/2020,80.44
08/26/2020,80.68
08/25/2020,81.13
08/24/2020,81.81
08/21/2020,81.62
08/20/2020,81.24
08/19/2020,81.22
08/18/2020,80.93
08/17/2020,81.54
08/14/2020,81.36
08/13/2020,81.82
08/12/2020,82.11
08/11/2020,81.95
08/10/2020,82.33
08/07/2020,82.57
08/06/2020,82.34
08/05/2020,81.94
08/04/2020,82.31
08/03/2020,82.10
07/31/2020,81.66
07/30/2020,82.28
07/29/2020,82.50
07/28/2020,82.63
07/27/2020,83.07
07/24/2020,83.37
07/23/2020,83.60
07/22/2020,83.64
07/21/2020,83.46
07/20/2020,83.58
07/17/2020,84.17
07/16/2020,83.61
07/15/2020,83.37
07/14/2020,83.58
07/13/2020,83.01
07/10/2020,82.81
07/09/2020,82.88
07/08/2020,83.04
07/07/2020,82.75
07/06/2020,83.39
07/03/2020,83.37
07/02/2020,83.38
07/01/2020,83.04
06/30/2020,83.68
06/29/2020,84.08
06/26/2020,83.49
06/25/2020,82.92
06/24/2020,82.64
06/23/2020,82.53
06/22/2020,82.95
06/19/2020,83.34
06/18/2020,82.71
06/17/2020,82.07
06/16/2020,82.15
06/15/2020,81.71
06/12/2020,81.76
06/11/2020,81.25
06/10/2020,80.76
06/09/2020,80.61
06/08/2020,81.07
06/05/2020,80.74
06/04/2020,81.25
06/03/2020,81.04
06/02/2020,81.19
06/01/2020,81.22
05/29/2020,81.83
05/28/2020,81.88
05/27/2020,82.17
05/26/2020,81.29
05/22/2020,81.87
05/21/2020,81.78
05/20/2020,81.11
05/19/2020,81.06
05/18/2020,81.01
05/15/2020,81.22
05/14/2020,80.36
05/13/2020,80.35
05/12/2020,79.83
05/11/2020,79.27
05/07/2020,79.70
05/06/2020,79.56
05/05/2020,79.63
05/04/2020,79.93
05/01/2020,79.38
04/30/2020,79.31
04/29/2020,79.94
04/28/2020,79.57
04/27/2020,79.92
04/24/2020,80.25
04/23/2020,80.18
04/22/2020,80.07
04/21/2020,80.25
04/20/2020,79.64
04/17/2020,79.82
04/16/2020,79.99
04/15/2020,79.25
04/14/2020,79.29
04/09/2020,79.95
04/08/2020,77.67
04/07/2020,77.71
04/06/2020,77.46
04/03/2020,77.07
04/02/2020,76.69
04/01/2020,76.82
03/31/2020,77.29
03/30/2020,77.13
03/27/2020,75.91
03/26/2020,78.04
03/25/2020,79.24
03/24/2020,78.39
03/23/2020,78.75
03/20/2020,75.05
03/19/2020,75.17
03/18/2020,75.01
03/17/2020,76.48
03/16/2020,76.17
03/13/2020,77.45
03/12/2020,76.19
03/11/2020,78.87
03/10/2020,79.80
03/09/2020,79.22
03/06/2020,80.75
03/05/2020,81.17
03/04/2020,81.82
03/03/2020,81.80
03/02/2020,81.36
02/28/2020,80.67
02/27/2020,80.11
02/26/2020,79.88
02/25/2020,79.55
02/24/2020,80.01
02/21/2020,79.73
02/20/2020,79.94
02/19/2020,79.42
02/18/2020,79.06
02/17/2020,79.09
02/14/2020,78.98
02/13/2020,78.64
02/12/2020,79.16
02/11/2020,79.54
02/10/2020,79.73
02/07/2020,79.76
02/06/2020,79.44
02/05/2020,79.17
02/04/2020,79.08
02/03/2020,79.43
01/31/2020,78.44
01/30/2020,78.61
01/29/2020,79.12
01/28/2020,79.06
01/27/2020,78.77
01/24/2020,78.60
01/23/2020,78.28
01/22/2020,78.11
01/21/2020,78.56
01/20/2020,78.57
01/17/2020,78.44
01/16/2020,78.21
01/15/2020,78.49
01/14/2020,78.42
01/13/2020,78.48
01/10/2020,78.19
01/09/2020,77.77
01/08/2020,77.73
01/07/2020,77.73
01/06/2020,77.50
01/03/2020,78.03
01/02/2020,77.58
