date,price
12/31/2020,178.36
12/30/2020,177.70
12/29/2020,176.35
12/28/2020,175.71
12/24/2020,176.35
12/23/2020,175.65
12/22/2020,174.49
12/21/2020,175.88
12/18/2020,176.44
12/17/2020,176.74
12/16/2020,174.90
12/15/2020,173.94
12/14/2020,171.54
12/11/2020,172.49
12/10/2020,172.17
12/09/2020,172.50
12/08/2020,175.50
12/07/2020,174.89
12/04/2020,172.32
12/03/2020,172.81
12/02/2020,171.46
12/01/2020,170.18
11/30/2020,166.67
11/27/2020,167.79
11/25/2020,169.51
11/24/2020,169.59
11/23/2020,172.23
11/20/2020,175.69
11/19/2020,175.16
11/18/2020,175.49
11/17/2020,176.50
11/16/2020,177.15
11/13/2020,177.16
11/12/2020,175.96
11/11/2020,174.90
11/10/2020,175.66
11/09/2020,175.08
11/06/2020,183.19
11/05/2020,182.93
11/04/2020,178.82
11/03/2020,178.92
11/02/2020,177.91
10/30/2020,176.20
10/29/2020,175.40
10/28/2020,176.13
10/27/2020,179.02
10/26/2020,178.55
10/23/2020,178.64
10/22/2020,178.83
10/21/2020,180.60
10/20/2020,179.25
10/19/2020,178.39
10/16/2020,178.30
10/15/2020,178.92
10/14/2020,178.27
10/13/2020,177.72
10/12/2020,180.56
10/09/2020,181.08
10/08/2020,177.85
10/07/2020,177.22
10/06/2020,177.30
10/05/2020,179.41
10/04/2020,178.54
10/03/2020,178.54
10/02/2020,178.54
10/01/2020,178.70
09/30/2020,177.12
09/29/2020,178.19
09/28/2020,176.70
09/27/2020,174.94
09/26/2020,174.94
09/25/2020,174.94
09/24/2020,175.44
09/23/2020,174.79
09/22/2020,178.65
09/21/2020,179.52
09/18/2020,183.20
09/17/2020,182.96
09/16/2020,183.97
09/15/2020,183.45
09/14/2020,183.89
09/13/2020,182.45
09/11/2020,182.45
09/10/2020,182.46
09/09/2020,183.05
09/08/2020,181.29
09/04/2020,181.64
09/03/2020,181.14
09/02/2020,182.62
09/01/2020,185.05
08/31/2020,184.83
08/30/2020,184.39
08/28/2020,184.39
08/27/2020,181.24
08/26/2020,183.36
08/25/2020,181.22
08/24/2020,181.00
08/23/2020,182.03
08/21/2020,182.03
08/20/2020,183.50
08/19/2020,182.24
08/18/2020,188.18
08/17/2020,186.50
08/14/2020,182.54
08/13/2020,183.33
08/12/2020,179.10
08/11/2020,179.94
08/10/2020,190.15
08/09/2020,190.81
08/08/2020,190.81
08/07/2020,190.81
08/06/2020,193.89
08/05/2020,191.35
08/04/2020,189.59
08/03/2020,185.64
08/02/2020,185.43
07/31/2020,185.43
07/30/2020,183.76
07/29/2020,185.13
07/28/2020,183.75
07/27/2020,182.23
07/26/2020,178.70
07/25/2020,178.70
07/24/2020,178.70
07/23/2020,177.18
07/22/2020,175.63
07/21/2020,173.00
07/20/2020,170.94
07/17/2020,170.12
07/16/2020,168.73
07/15/2020,170.34
07/14/2020,170.19
07/13/2020,169.40
07/12/2020,169.19
07/11/2020,169.19
07/10/2020,169.19
07/09/2020,169.63
07/08/2020,170.09
07/07/2020,169.04
07/06/2020,167.98
07/05/2020,166.98
07/04/2020,166.98
07/02/2020,166.98
07/01/2020,166.62
06/30/2020,167.37
06/29/2020,166.63
06/26/2020,166.54
06/25/2020,165.80
06/24/2020,165.90
06/23/2020,166.48
06/22/2020,165.09
06/19/2020,164.03
06/18/2020,162.24
06/17/2020,162.56
06/16/2020,162.25
06/15/2020,162.33
06/12/2020,162.62
06/11/2020,162.39
06/10/2020,163.57
06/09/2020,161.26
06/08/2020,159.72
06/07/2020,158.01
06/05/2020,158.01
06/04/2020,161.28
06/03/2020,159.60
06/02/2020,162.60
06/01/2020,163.66
05/29/2020,162.91
05/28/2020,161.72
05/27/2020,161.18
05/26/2020,160.89
05/22/2020,163.21
05/21/2020,162.25
05/20/2020,164.65
05/19/2020,164.26
05/18/2020,162.69
05/15/2020,163.93
05/14/2020,163.01
05/13/2020,161.58
05/12/2020,160.04
05/11/2020,159.42
05/10/2020,160.42
05/09/2020,160.42
05/08/2020,160.42
05/07/2020,161.39
05/06/2020,158.95
05/05/2020,161.02
05/04/2020,160.34
05/03/2020,159.78
05/02/2020,159.78
05/01/2020,159.78
04/30/2020,158.80
04/29/2020,161.73
04/28/2020,160.84
04/27/2020,161.56
04/24/2020,162.64
04/23/2020,163.34
04/22/2020,161.73
04/21/2020,158.61
04/20/2020,159.70
04/17/2020,158.57
04/16/2020,161.71
04/15/2020,161.85
04/14/2020,162.68
04/13/2020,161.41
04/09/2020,158.69
04/08/2020,154.65
04/07/2020,156.04
04/06/2020,156.88
04/03/2020,152.65
04/02/2020,151.90
04/01/2020,149.45
03/31/2020,148.05
03/30/2020,152.92
03/27/2020,152.25
03/26/2020,153.24
03/25/2020,151.30
03/24/2020,153.40
03/23/2020,146.30
03/20/2020,140.11
03/19/2020,138.04
03/18/2020,140.70
03/17/2020,143.56
03/16/2020,141.64
03/13/2020,143.28
03/12/2020,147.79
03/11/2020,153.93
03/10/2020,154.48
03/09/2020,157.81
03/06/2020,157.55
03/05/2020,157.49
03/04/2020,154.16
03/03/2020,153.89
03/02/2020,149.20
02/28/2020,148.38
02/27/2020,154.00
02/26/2020,153.97
02/25/2020,153.30
02/24/2020,156.09
02/21/2020,154.70
02/20/2020,152.41
02/19/2020,151.79
02/18/2020,150.91
02/14/2020,149.00
02/13/2020,148.38
02/12/2020,147.54
02/11/2020,147.66
02/10/2020,148.17
02/07/2020,147.79
02/06/2020,147.40
02/05/2020,146.61
02/04/2020,146.43
02/03/2020,148.36
01/31/2020,149.33
01/30/2020,148.47
01/29/2020,148.46
01/28/2020,147.66
01/27/2020,148.99
01/24/2020,147.98
01/23/2020,147.12
01/22/2020,146.79
01/21/2020,146.74
01/17/2020,146.58
01/16/2020,146.31
01/15/2020,146.54
01/14/2020,145.69
01/13/2020,145.82
01/10/2020,146.91
01/09/2020,146.03
01/08/2020,146.86
01/07/2020,147.97
01/06/2020,147.39
01/03/2020,145.86
01/02/2020,143.95
