date,price
12/30/2020,253.84
12/29/2020,253.82
12/28/2020,253.55
12/23/2020,254.18
12/22/2020,255.13
12/21/2020,254.41
12/18/2020,254.35
12/17/2020,254.50
12/16/2020,255.09
12/15/2020,255.23
12/14/2020,255.52
12/11/2020,255.84
12/10/2020,255.41
12/09/2020,255.69
12/08/2020,255.16
12/07/2020,254.72
12/04/2020,253.74
12/03/2020,252.75
12/02/2020,255.63
12/01/2020,255.20
11/30/2020,257.43
11/27/2020,257.57
11/26/2020,258.01
11/25/2020,257.88
11/24/2020,257.63
11/23/2020,258.78
11/20/2020,258.85
11/19/2020,258.47
11/18/2020,258.41
11/17/2020,257.67
11/16/2020,257.60
11/13/2020,259.12
11/12/2020,257.51
11/11/2020,258.87
11/10/2020,256.72
11/09/2020,258.53
11/06/2020,258.47
11/05/2020,259.67
11/04/2020,260.60
11/03/2020,259.37
11/02/2020,260.66
10/30/2020,260.30
10/29/2020,260.61
10/28/2020,259.17
10/27/2020,258.50
10/26/2020,257.90
10/23/2020,256.71
10/22/2020,257.34
10/21/2020,258.75
10/20/2020,257.98
10/19/2020,258.50
10/16/2020,259.99
10/15/2020,259.89
10/14/2020,259.56
10/13/2020,258.95
10/12/2020,258.14
10/09/2020,257.51
10/08/2020,257.62
10/07/2020,257.47
10/06/2020,257.45
10/05/2020,257.65
10/02/2020,259.38
10/01/2020,258.68
09/30/2020,258.42
09/29/2020,259.30
09/28/2020,260.13
09/25/2020,260.56
09/24/2020,260.03
09/23/2020,259.79
09/22/2020,259.37
09/21/2020,259.13
09/18/2020,257.63
09/17/2020,258.34
09/16/2020,257.78
09/15/2020,257.08
09/14/2020,256.19
09/11/2020,256.37
09/10/2020,255.36
09/09/2020,256.25
09/08/2020,257.25
09/07/2020,255.51
09/04/2020,256.54
09/03/2020,257.71
09/02/2020,257.81
09/01/2020,254.04
08/31/2020,254.31
08/28/2020,255.40
08/27/2020,256.16
08/26/2020,256.54
08/25/2020,256.57
08/24/2020,257.78
08/21/2020,258.15
08/20/2020,257.18
08/19/2020,256.52
08/18/2020,255.66
08/17/2020,256.41
08/14/2020,256.05
08/13/2020,256.34
08/12/2020,257.15
08/11/2020,257.95
08/10/2020,259.31
08/07/2020,259.15
08/06/2020,259.62
08/05/2020,257.70
08/04/2020,259.31
08/03/2020,259.49
07/31/2020,259.01
07/30/2020,258.59
07/29/2020,259.03
07/28/2020,259.83
07/27/2020,258.90
07/24/2020,259.65
07/23/2020,260.25
07/22/2020,260.48
07/21/2020,261.08
07/20/2020,261.67
07/17/2020,261.77
07/16/2020,261.95
07/15/2020,261.74
07/14/2020,262.27
07/13/2020,262.21
07/10/2020,261.95
07/09/2020,263.65
07/08/2020,262.96
07/07/2020,262.40
07/06/2020,262.34
07/03/2020,263.53
07/02/2020,262.33
07/01/2020,261.90
06/30/2020,263.43
06/29/2020,263.05
06/26/2020,264.42
06/25/2020,264.01
06/24/2020,262.71
06/23/2020,261.43
06/22/2020,262.30
06/19/2020,263.70
06/18/2020,263.02
06/17/2020,263.34
06/16/2020,262.35
06/15/2020,262.84
06/12/2020,262.41
06/11/2020,261.31
06/10/2020,261.14
06/09/2020,258.67
06/08/2020,259.48
06/05/2020,257.61
06/04/2020,259.07
06/03/2020,262.30
06/02/2020,262.14
06/01/2020,263.52
05/29/2020,263.74
05/28/2020,266.33
05/27/2020,265.82
05/26/2020,265.76
05/25/2020,267.34
05/22/2020,267.02
05/21/2020,266.35
05/20/2020,265.65
05/19/2020,265.93
05/18/2020,267.05
05/15/2020,268.33
05/14/2020,269.36
05/13/2020,268.30
05/12/2020,267.10
05/11/2020,267.65
05/08/2020,268.44
05/07/2020,268.70
05/06/2020,268.65
05/05/2020,268.85
05/04/2020,267.85
04/30/2020,268.09
04/29/2020,269.31
04/28/2020,268.76
04/27/2020,268.68
04/24/2020,269.13
04/23/2020,268.16
04/22/2020,266.50
04/21/2020,266.46
04/20/2020,266.49
04/17/2020,267.52
04/16/2020,267.01
04/15/2020,265.41
04/14/2020,264.00
04/09/2020,262.76
04/08/2020,265.61
04/07/2020,265.33
04/06/2020,265.80
04/03/2020,264.97
04/02/2020,265.51
04/01/2020,267.37
03/31/2020,263.01
03/30/2020,265.23
03/27/2020,265.07
03/26/2020,260.03
03/25/2020,263.43
03/24/2020,261.59
03/23/2020,265.67
03/20/2020,259.93
03/19/2020,258.20
03/18/2020,261.09
03/17/2020,255.16
03/16/2020,263.43
03/13/2020,256.92
03/12/2020,267.66
03/11/2020,266.20
03/10/2020,266.39
03/09/2020,268.45
03/06/2020,265.54
03/05/2020,264.01
03/04/2020,264.32
03/03/2020,263.93
03/02/2020,262.95
02/28/2020,264.76
02/27/2020,263.35
02/26/2020,263.64
02/25/2020,264.79
02/24/2020,264.38
02/21/2020,262.73
02/20/2020,263.10
02/19/2020,262.52
02/18/2020,263.37
02/17/2020,262.58
02/14/2020,262.42
02/13/2020,261.71
02/12/2020,260.72
02/11/2020,260.95
02/10/2020,261.05
02/07/2020,259.99
02/06/2020,258.69
02/05/2020,258.55
02/04/2020,259.09
02/03/2020,259.95
01/31/2020,259.95
01/30/2020,260.16
01/29/2020,259.81
01/28/2020,259.16
01/27/2020,259.62
01/24/2020,257.85
01/23/2020,257.44
01/22/2020,255.12
01/21/2020,254.89
01/20/2020,254.49
