ST,CB,PB,GO,CA,RETURN,VOLAT
100,0,0,0,0,-0.02171081124648075,7.365393514917544
80,20,0,0,0,-0.05810452658570731,6.0255019019391485
80,0,20,0,0,-0.05823954776732278,5.713017244543677
80,0,0,20,0,-0.152560470136263,6.4926345369245535
80,0,0,0,20,-0.058266709079313604,5.6062671041758065
60,40,0,0,0,-0.09451183157870116,4.726452474081206
60,20,20,0,0,-0.09462757289484551,4.384053227770933
60,20,0,20,0,-0.18895732819854671,5.2706243508469
60,20,0,0,20,-0.0946717128129137,4.251187778249576
60,0,40,0,0,-0.09474319153183684,4.080646785301714
60,0,20,20,0,-0.18902293896771327,4.886141714695602
60,0,20,0,20,-0.09478736194892487,3.968792021253177
60,0,0,40,0,-0.11649316321016574,6.050843822853086
60,0,0,20,20,-0.18911104251646493,4.681717182079543
60,0,0,0,40,-0.09483157357076584,3.904506586270561
40,60,0,0,0,0.07363638370004155,3.5144727904572877
40,40,20,0,0,0.07343144314583634,3.126811475983909
40,40,0,20,0,-0.020956395615300306,4.1686565701358935
40,40,0,0,20,0.07346570232647509,2.9600385218327205
40,20,40,0,0,0.07322671985742911,2.7843530429697374
40,20,20,20,0,-0.02111104947656864,3.743898111618345
40,20,20,0,20,0.07326086540755218,2.644625375000502
40,20,0,40,0,0.05167265372952939,5.076114992137612
40,20,0,20,20,-0.02112089116786009,3.4907033604863367
40,20,0,0,40,0.0732950428165882,2.5761200329074465
40,0,60,0,0,0.07321250642757185,2.513226534199073
40,0,40,20,0,-0.021265539509308762,3.347672173503894
40,0,40,0,20,0.07305624563064651,2.404986863740147
40,0,20,40,0,0.0514793367299714,4.649104764010704
40,0,20,20,20,-0.021275447968459992,3.1013150479345546
40,0,20,0,40,0.07309030950806718,2.3877663194340553
40,0,0,60,0,-0.04291538904032276,6.128023542497992
40,0,0,40,20,0.05150335733317497,4.36213761579143
40,0,0,20,40,-0.021285365665368143,2.898141177918532
40,0,0,0,60,0.07312440516619836,2.4600419541833745
20,80,0,0,0,0.03724008455160746,2.519451148571492
20,60,20,0,0,0.03705441217077203,2.077042149378881
20,60,0,20,0,-0.0573422779593952,3.3095929070950234
20,60,0,0,20,0.037071703004646316,1.8714963773519395
20,40,40,0,0,0.03686893666545265,1.682223401948747
20,40,20,20,0,-0.05747767464132622,2.851814020350117
20,40,20,0,20,0.03688613182480681,1.51138910180439
20,40,0,40,0,0.015267552393145933,4.348046996642706
20,40,0,20,20,-0.057504474971441046,2.5487960298993864
20,40,0,0,40,0.0369033430307931,1.4657005712414515
20,20,60,0,0,0.03677927172552762,1.3794669112032187
20,20,40,20,0,-0.0576129278675793,2.4212403148750328
20,20,40,0,20,0.03670075740058361,1.2739056913795095
20,20,20,40,0,0.0150935128932954,3.9107857619696573
20,20,20,20,20,-0.05763977702493674,2.1162225711822127
20,20,20,0,40,0.03671787302753031,1.3310300439540728
20,20,0,60,0,-0.0793100645548082,5.502233573832387
20,20,0,40,20,0.015100556942944751,3.591092025519762
20,20,0,20,40,-0.05766665121878714,1.863491232824168
20,20,0,0,60,0.036735004625883964,1.5370812857644098
20,0,80,0,0,0.03659365611118439,1.2278145420699724
20,0,60,20,0,-0.057898438851852765,2.0409693283951027
20,0,60,0,20,0.03661074923133697,1.2331410756626713
20,0,40,40,0,0.01491965795801048,3.4979649592916795
20,0,40,20,20,-0.05777493573216436,1.7372447021421928
20,0,40,0,40,0.036532599660061664,1.3997603383028923
